MOUSE   MICROSAT    DATA    FOR RST ANALYSIS                                        
 8 
 20 
 8 
 20 
 20 
 20 
 20 
 20 
 20 
 20 
 20 
4_149                                                           
 2 
 149 
4_315                                                           
 2 
 315 
4_103                                                           
 2 
 103 
4_104                                                           
 2 
 104 
4_264                                                           
 2 
 264 
4_235                                                           
 2 
 235 
4_181                                                           
 2 
 181 
4_227                                                           
 2 
 227 
POS                                                         
 .848966658115387   1.250547170639038  -.9616873264312744  -.3083113133907318  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   5.544951558113098E-002  -.4177277088165283  -.2142680883407593  -.2389626801013947   6.869117915630341E-002  -1.549124240875244   .1245311945676804   
 .4473861455917358   .848966658115387  -.3083113133907318   1.837669871747494E-002  -.4204955697059631  -.1516475230455399  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   5.544951558113098E-002  -.4177277088165283  -.2142680883407593  -.2389626801013947   6.869117915630341E-002   .1245311945676804   .8852836489677429   
 4.580558836460114E-002   1.250547170639038  -.3083113133907318   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489  -1.161271333694458   .2582363188266754  -.4177277088165283  -.2142680883407593   .3763450384140015   .9916527271270752   .7331331372261047   .8852836489677429   
 4.580558836460114E-002   .4473861455917358  -.3083113133907318   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489  -1.161271333694458   .2582363188266754  -.4177277088165283  -.4177277088165283  -.5466164946556091   .3763450384140015   .7331331372261047   1.037434101104736   
 .4473861455917358   .4473861455917358  -.3083113133907318   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489   .661773681640625  -1.161271333694458  -.9584845304489136  -.4177277088165283   1.616868376731873   6.869117915630341E-002   .3763450384140015   .7331331372261047   .7331331372261047   
 4.580558836460114E-002   .4473861455917358   1.837669871747494E-002   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489   .661773681640625  -.9584845304489136   .2582363188266754  -.4177277088165283   1.616868376731873  -.5466164946556091   6.869117915630341E-002   .7331331372261047   1.037434101104736   
 4.580558836460114E-002   .4473861455917358   1.837669871747494E-002   1.837669871747494E-002  -.4204955697059631  -.4204955697059631  -.1703179031610489   .661773681640625  -.9584845304489136   .2582363188266754  -.4177277088165283   1.616868376731873  -.5466164946556091   6.869117915630341E-002   .7331331372261047   1.037434101104736   
 .4473861455917358   1.250547170639038  -.9616873264312744   1.837669871747494E-002  -.4204955697059631  -.1516475230455399  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   5.544951558113098E-002  -.4177277088165283  -.4177277088165283  -.2389626801013947  -.2389626801013947  -1.549124240875244   .8852836489677429   
 .4473861455917358   1.250547170639038  -.9616873264312744   .9984407424926758  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489  -.5529109239578247   5.544951558113098E-002  -.4177277088165283  -.4177277088165283  -.2389626801013947   .6839988827705383  -1.549124240875244   .4288321733474731   
LVA                                                         
 .4473861455917358   1.250547170639038  -.6349993348121643   .9984407424926758  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489  -.1473372876644135   .8665967583656311  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   .3763450384140015   .7331331372261047   .7331331372261047   
-1.158936023712158  -1.158936023712158   1.325128793716431   1.325128793716431  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -.4177277088165283  -.4177277088165283   1.299306631088257   1.299306631088257   1.037434101104736   1.037434101104736   
-1.158936023712158  -1.158936023712158   1.325128793716431   1.325128793716431  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -.4177277088165283  -.4177277088165283   1.299306631088257   1.299306631088257   1.037434101104736   1.037434101104736   
-1.158936023712158  -1.158936023712158   1.325128793716431   1.325128793716431  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -.4177277088165283  -.4177277088165283   1.299306631088257   1.299306631088257   1.037434101104736   1.037434101104736   
-1.158936023712158  -1.158936023712158   .9984407424926758   1.325128793716431  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   1.272170305252075  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   1.299306631088257   .5809826850891113   1.037434101104736   
-1.158936023712158  -1.158936023712158   1.325128793716431   1.325128793716431  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -.4177277088165283  -.4177277088165283   1.299306631088257   1.299306631088257   1.037434101104736   1.037434101104736   
-1.158936023712158  -1.158936023712158   1.325128793716431   1.325128793716431  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -.4177277088165283  -.4177277088165283   1.299306631088257   1.299306631088257   1.037434101104736   1.037434101104736   
-1.158936023712158  -1.158936023712158   1.325128793716431   1.325128793716431  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -.4177277088165283  -.4177277088165283   1.299306631088257   1.299306631088257   1.037434101104736   1.037434101104736   
-.7573555111885071  -.7573555111885071   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   5.544951558113098E-002   .3961107432842255   .3961107432842255   .6839988827705383   .6839988827705383   1.037434101104736   1.037434101104736   
-1.158936023712158  -.7573555111885071   .6717527508735657   1.325128793716431  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   .4610231220722198  -.4177277088165283   .3961107432842255   .6839988827705383   1.299306631088257   1.037434101104736   1.037434101104736   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.6893436312675476  -.6893436312675476  -.1703179031610489  -.1703179031610489  -.1473372876644135  -.1473372876644135  -.2142680883407593  -.2142680883407593   6.869117915630341E-002   6.869117915630341E-002   .8852836489677429   .8852836489677429   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.6893436312675476  -.6893436312675476  -.1703179031610489  -.1703179031610489  -.1473372876644135  -.1473372876644135  -.2142680883407593  -.2142680883407593   6.869117915630341E-002   6.869117915630341E-002   .8852836489677429   .8852836489677429   
-1.158936023712158  -.3557749688625336   .6717527508735657   .6717527508735657  -.6893436312675476  -.4204955697059631  -.1703179031610489  -.1703179031610489  -.1473372876644135   5.544951558113098E-002  -.4177277088165283  -.2142680883407593  -3.007847309112549   6.869117915630341E-002   .5809826850891113   .8852836489677429   
-1.158936023712158  -1.158936023712158   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   5.544951558113098E-002   5.544951558113098E-002  -.4177277088165283  -.4177277088165283  -3.007847309112549  -3.007847309112549   .5809826850891113   .5809826850891113   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.6893436312675476  -.6893436312675476  -.1703179031610489  -.1703179031610489  -.1473372876644135  -.1473372876644135  -.2142680883407593  -.2142680883407593   6.869117915630341E-002   6.869117915630341E-002   .8852836489677429   .8852836489677429   
-1.158936023712158  -.3557749688625336   .6717527508735657   .6717527508735657  -.6893436312675476  -.4204955697059631  -.1703179031610489  -.1703179031610489  -.1473372876644135   5.544951558113098E-002  -.4177277088165283  -.2142680883407593  -3.007847309112549   6.869117915630341E-002   .5809826850891113   .8852836489677429   
 1.250547170639038   1.250547170639038  -.6349993348121643  -.6349993348121643  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489  -.1473372876644135  -.1473372876644135  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   6.869117915630341E-002   .7331331372261047   .7331331372261047   
-.7573555111885071  -.7573555111885071   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489  -.3501240909099579  -.3501240909099579  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   6.869117915630341E-002   .7331331372261047   .7331331372261047   
 1.250547170639038   1.250547170639038  -.6349993348121643  -.6349993348121643  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489  -.1473372876644135  -.1473372876644135  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   6.869117915630341E-002   .7331331372261047   .7331331372261047   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489  -.1473372876644135  -.1473372876644135  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   6.869117915630341E-002   .4288321733474731   .7331331372261047   
SPT                                                         
-1.158936023712158   .4473861455917358  -2.921815395355225  -2.59512734413147  -.4204955697059631   2.805681228637695   .661773681640625   .661773681640625  -1.364058136940002   5.544951558113098E-002   1.209949135780334   1.616868376731873   .9916527271270752   2.529922008514404  -1.701274752616882  -1.701274752616882   
-1.158936023712158   4.580558836460114E-002  -2.59512734413147  -.6349993348121643  -.4204955697059631   2.805681228637695  -.1703179031610489   .661773681640625  -1.364058136940002  -.5529109239578247   1.209949135780334   1.616868376731873   .3763450384140015   .9916527271270752  -1.701274752616882  -1.701274752616882   
-1.158936023712158  -.3557749688625336  -2.59512734413147  -.3083113133907318   .3860486149787903   2.805681228637695   .661773681640625   .661773681640625  -1.364058136940002  -.5529109239578247   1.209949135780334   1.616868376731873  -1.161924242973328   .9916527271270752  -1.701274752616882   .1245311945676804   
-1.158936023712158  -.3557749688625336  -2.59512734413147  -.3083113133907318   .3860486149787903   2.805681228637695   .661773681640625   .661773681640625  -1.364058136940002  -.5529109239578247   1.209949135780334   1.616868376731873  -1.161924242973328   .9916527271270752  -1.701274752616882   .1245311945676804   
 4.580558836460114E-002   .4473861455917358  -2.921815395355225  -2.59512734413147  -.4204955697059631   1.192592740058899  -.1703179031610489   .661773681640625  -1.364058136940002   5.544951558113098E-002   .8030299544334412   1.209949135780334   .3763450384140015   2.529922008514404  -1.701274752616882  -1.701274752616882   
-.7573555111885071   4.580558836460114E-002   .6717527508735657   .6717527508735657   1.192592740058899   1.730288863182068   .661773681640625   1.216501355171204  -.1473372876644135   5.544951558113098E-002  -.6211873292922974   1.209949135780334  -.5466164946556091   .6839988827705383  -.9405222535133362   .1245311945676804   
-1.158936023712158  -1.158936023712158  -1.94175136089325  -1.94175136089325  -.4204955697059631  -.4204955697059631   .661773681640625   .661773681640625   5.544951558113098E-002   5.544951558113098E-002   1.209949135780334   1.209949135780334  -1.161924242973328  -1.161924242973328  -.6362212896347046  -.6362212896347046   
-1.158936023712158   1.250547170639038  -1.94175136089325  -1.615063428878784  -.4204955697059631   2.536833047866821   .661773681640625   .661773681640625   5.544951558113098E-002   5.544951558113098E-002   .5995703339576721   1.209949135780334  -1.161924242973328   .3763450384140015  -.6362212896347046  -.6362212896347046   
-1.158936023712158  -1.158936023712158  -.6349993348121643  -.6349993348121643   2.267985105514526   2.267985105514526   .661773681640625   .661773681640625  -.5529109239578247  -.5529109239578247  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .1245311945676804   .1245311945676804   
-1.158936023712158   4.580558836460114E-002  -2.268439531326294   1.837669871747494E-002   2.536833047866821   2.805681228637695   .661773681640625   .661773681640625   5.544951558113098E-002   5.544951558113098E-002   1.209949135780334   1.209949135780334  -1.161924242973328   .3763450384140015  -1.701274752616882  -1.701274752616882   
 .4473861455917358   .848966658115387  -1.288375377655029  -.9616873264312744   1.730288863182068   2.267985105514526   .661773681640625   1.493865251541138   5.544951558113098E-002   .6638099551200867  -.6211873292922974   1.006489515304565   .3763450384140015   .6839988827705383  -.788371741771698  -.788371741771698   
-2.363677740097046  -1.158936023712158  -1.615063428878784  -.6349993348121643   2.267985105514526   2.805681228637695   .661773681640625   .661773681640625   5.544951558113098E-002   .2582363188266754   1.413408756256104   1.413408756256104   .9916527271270752   1.914614319801331  -1.244823217391968  -.788371741771698   
-2.363677740097046   .848966658115387  -1.615063428878784  -1.288375377655029   1.730288863182068   2.805681228637695   .661773681640625   1.493865251541138   5.544951558113098E-002   .6638099551200867  -.6211873292922974   1.413408756256104   .3763450384140015   .9916527271270752  -.788371741771698  -.788371741771698   
-2.363677740097046   .4473861455917358  -2.268439531326294  -1.288375377655029   2.267985105514526   3.343377351760864  -.1703179031610489  -.1703179031610489  -.9584845304489136   5.544951558113098E-002  -.4177277088165283   .5995703339576721  -1.161924242973328   .9916527271270752  -.788371741771698  -.788371741771698   
-2.363677740097046   .4473861455917358  -2.268439531326294  -1.288375377655029   2.267985105514526   3.343377351760864  -.1703179031610489  -.1703179031610489  -.9584845304489136   5.544951558113098E-002  -.4177277088165283   .5995703339576721  -1.161924242973328   .9916527271270752  -.788371741771698  -.788371741771698   
-.3557749688625336   4.580558836460114E-002  -2.268439531326294   .3450647294521332   2.536833047866821   2.805681228637695   .661773681640625   .661773681640625  -1.364058136940002  -1.364058136940002  -.6211873292922974   .8030299544334412  -2.700193405151367   .6839988827705383  -1.853425145149231  -.1797697842121124   
-.3557749688625336   .4473861455917358  -.3083113133907318   .3450647294521332   2.267985105514526   2.805681228637695   .661773681640625   .661773681640625  -1.364058136940002  -.3501240909099579  -.6211873292922974   .8030299544334412   .6839988827705383   .9916527271270752  -1.853425145149231  -.1797697842121124   
 4.580558836460114E-002   .848966658115387  -1.94175136089325   .3450647294521332   1.192592740058899   2.536833047866821   .661773681640625   .661773681640625  -1.364058136940002   .2582363188266754  -.6211873292922974   2.22724723815918   .6839988827705383   .6839988827705383  -.1797697842121124  -2.761929854750633E-002   
 .4473861455917358   .848966658115387  -1.94175136089325  -.3083113133907318   1.192592740058899   2.267985105514526   .661773681640625   .661773681640625  -.3501240909099579   .2582363188266754   .8030299544334412   2.22724723815918   .6839988827705383   .9916527271270752  -1.853425145149231  -1.853425145149231   
 4.580558836460114E-002   4.580558836460114E-002  -2.268439531326294  -2.268439531326294   2.536833047866821   2.536833047866821   .661773681640625   .661773681640625  -1.364058136940002   .2582363188266754   .8030299544334412   1.006489515304565  -2.700193405151367   .6839988827705383  -1.853425145149231  -1.701274752616882   
ST2                                                         
 4.580558836460114E-002   1.250547170639038   1.837669871747494E-002   .3450647294521332  -.4204955697059631   1.730288863182068  -.1703179031610489   .661773681640625   .2582363188266754   .8665967583656311  -.4177277088165283  -.2142680883407593   .6839988827705383   .6839988827705383  -.9405222535133362  -.6362212896347046   
-1.158936023712158  -1.158936023712158   1.837669871747494E-002   1.837669871747494E-002  -.4204955697059631  -.4204955697059631   .661773681640625   .661773681640625  -2.17520546913147  -2.17520546913147  -.4177277088165283  -.4177277088165283  -2.700193405151367  -2.700193405151367  -1.09267270565033  -1.09267270565033   
-1.158936023712158  -1.158936023712158   .3450647294521332   .3450647294521332   1.730288863182068   1.730288863182068   .661773681640625   .661773681640625  -2.17520546913147  -2.17520546913147   2.22724723815918   2.22724723815918   .6839988827705383   .6839988827705383  -.788371741771698  -.788371741771698   
-.7573555111885071   1.250547170639038   1.837669871747494E-002   .3450647294521332  -.4204955697059631  -.1516475230455399  -.1703179031610489   .661773681640625  -2.17520546913147   .2582363188266754  -.4177277088165283  -.2142680883407593  -.8542703986167908   6.869117915630341E-002  -1.244823217391968   .1245311945676804   
 4.580558836460114E-002   2.05370831489563   1.837669871747494E-002   .3450647294521332  -.4204955697059631   1.730288863182068  -.1703179031610489   .661773681640625  -2.17520546913147   .8665967583656311  -.4177277088165283  -.2142680883407593  -2.700193405151367   .6839988827705383  -1.09267270565033  -.9405222535133362   
-1.158936023712158  -1.158936023712158   .3450647294521332   .3450647294521332  -.6893436312675476   1.730288863182068  -.1703179031610489   .661773681640625  -2.17520546913147  -.1473372876644135  -.4177277088165283   2.22724723815918   .6839988827705383   1.299306631088257  -1.549124240875244  -.788371741771698   
-.7573555111885071   .4473861455917358   1.837669871747494E-002   .3450647294521332  -.4204955697059631  -.4204955697059631  -.1703179031610489   .9391375184059143   .6638099551200867   .8665967583656311  -.4177277088165283  -.2142680883407593  -2.700193405151367   .6839988827705383  -.9405222535133362  -.6362212896347046   
-1.158936023712158  -1.158936023712158   .3450647294521332   .3450647294521332  -.6893436312675476   1.730288863182068  -.1703179031610489   .661773681640625  -2.17520546913147  -.1473372876644135  -.4177277088165283   2.22724723815918   .6839988827705383   1.299306631088257  -1.549124240875244  -.788371741771698   
 1.250547170639038   2.05370831489563   1.837669871747494E-002   .3450647294521332  -.4204955697059631  -.4204955697059631  -.1703179031610489   .661773681640625  -.1473372876644135   .2582363188266754  -.4177277088165283  -.2142680883407593   6.869117915630341E-002   .6839988827705383  -.6362212896347046  -2.761929854750633E-002   
-1.158936023712158  -1.158936023712158   .3450647294521332   .3450647294521332   1.730288863182068   1.730288863182068   .661773681640625   .661773681640625  -2.17520546913147  -2.17520546913147   2.22724723815918   2.22724723815918   .6839988827705383   .6839988827705383  -.788371741771698  -.788371741771698   
-1.158936023712158  -1.158936023712158   .3450647294521332   .3450647294521332   1.730288863182068   1.730288863182068   .661773681640625   .661773681640625  -2.17520546913147  -2.17520546913147   2.22724723815918   2.22724723815918   .6839988827705383   .6839988827705383  -.788371741771698  -.788371741771698   
-1.158936023712158  -1.158936023712158   .3450647294521332   .3450647294521332   1.730288863182068   1.730288863182068   .661773681640625   .661773681640625  -2.17520546913147  -2.17520546913147   2.22724723815918   2.22724723815918   .6839988827705383   .6839988827705383  -.788371741771698  -.788371741771698   
-1.158936023712158  -1.158936023712158   .3450647294521332   .3450647294521332  -.6893436312675476   1.730288863182068  -.1703179031610489   .661773681640625  -2.17520546913147  -.1473372876644135  -.4177277088165283   2.22724723815918   .6839988827705383   1.299306631088257  -1.549124240875244  -.788371741771698   
-1.158936023712158  -1.158936023712158   .3450647294521332   .3450647294521332   1.730288863182068   1.730288863182068   .661773681640625   .661773681640625  -2.17520546913147  -2.17520546913147   2.22724723815918   2.22724723815918   .6839988827705383   .6839988827705383  -.788371741771698  -.788371741771698   
-1.158936023712158  -1.158936023712158   .3450647294521332   .3450647294521332   1.730288863182068   1.730288863182068   .661773681640625   .661773681640625  -2.17520546913147  -2.17520546913147   2.22724723815918   2.22724723815918   .6839988827705383   .6839988827705383  -.788371741771698  -.788371741771698   
-1.158936023712158  -1.158936023712158   .3450647294521332   .3450647294521332  -.6893436312675476   1.730288863182068  -.1703179031610489   .661773681640625  -2.17520546913147  -.1473372876644135  -.4177277088165283   2.22724723815918   .6839988827705383   1.299306631088257  -1.549124240875244  -.788371741771698   
 2.05370831489563   2.05370831489563  -1.615063428878784  -1.615063428878784  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .4610231220722198   .4610231220722198  -.4177277088165283  -.4177277088165283   .9916527271270752   .9916527271270752  -1.701274752616882  -1.701274752616882   
-1.158936023712158  -.7573555111885071  -1.288375377655029   .3450647294521332  -.1516475230455399   1.730288863182068  -.1703179031610489  -.1703179031610489  -2.17520546913147   1.069383502006531  -.4177277088165283  -.2142680883407593   6.869117915630341E-002   .6839988827705383  -1.244823217391968  -.6362212896347046   
-.7573555111885071   2.05370831489563  -1.615063428878784   .3450647294521332  -.4204955697059631   1.730288863182068  -.1703179031610489   .661773681640625  -1.972418546676636   .4610231220722198  -.4177277088165283  -.4177277088165283   .9916527271270752   1.914614319801331  -1.701274752616882  -1.701274752616882   
-1.158936023712158   2.05370831489563  -1.615063428878784  -1.288375377655029  -.4204955697059631  -.1516475230455399  -.1703179031610489  -.1703179031610489   .4610231220722198   1.069383502006531  -.4177277088165283  -.2142680883407593   .6839988827705383   .9916527271270752  -1.244823217391968  -1.244823217391968   
